Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	8	1	1	0	0
2	8	1	1	0	0
3	8	1	1	0	0
4	8	1	1	0	0
5	8	1	1	0	0
6	8	1	1	0	0
7	8	1	1	0	0
8	8	1	1	0	0
9	8	1	1	0	0
10	8	1	1	0	0
11	8	1	1	0	0
12	8	1	1	0	0
13	8	1	1	0	0
14	8	1	1	0	0
15	8	1	1	0	0
16	8	1	1	0	0
17	8	1	1	0	0
18	8	1	1	0	0
19	8	1	1	0	0
20	8	1	1	0	0
21	8	1	1	0	0
22	8	1	1	0	0
23	9	1	1	0	0
24	9	1	1	0	0
25	9	1	1	0	0
26	9	1	1	0	0
27	9	1	1	0	0
28	9	1	1	0	0
29	9	1	1	0	0
30	9	1	1	0	0
31	9	1	1	0	0
32	9	1	1	0	0
33	9	1	1	0	0
34	9	1	1	0	0
35	9	1	1	0	0
36	9	1	1	0	0
37	9	1	1	0	0
38	9	1	1	0	0
39	9	1	1	0	0
40	9	1	1	0	0
41	9	1	1	0	0
42	9	1	1	0	0
43	9	1	1	0	0
44	9	1	1	0	0
45	9	1	1	0	0
46	9	1	1	0	0
47	9	1	1	0	0
48	9	1	1	0	0
49	9	1	1	0	0
50	8	1	1	0	0
51	8	1	1	0	0
52	9	1	1	0	0
53	9	1	1	0	0
54	9	1	1	0	0
55	9	1	1	0	0
56	9	1	1	0	0
57	9	1	1	0	0
58	10	1	1	0	0
59	10	1	1	0	0
60	10	1	1	0	0
61	10	1	1	0	0
62	10	1	1	0	0
63	10	1	1	0	0
64	10	1	1	0	0
