id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,created_at
event_1_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,1,enter,1,40,1501,554,2025-08-21T20:23:19.781679
event_2_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,2,enter,1,40,1481,399,2025-08-21T20:23:19.782071
event_4_1_40,analysis_001,zone_entrada_principal,polygon_principal,4,enter,1,40,292,521,2025-08-21T20:23:19.782442
event_16_1_40,analysis_001,zone_entrada_principal,polygon_principal,16,enter,1,40,116,190,2025-08-21T20:23:19.783494
event_31_1_40,analysis_001,zone_entrada_principal,polygon_principal,31,enter,1,40,369,567,2025-08-21T20:23:19.784422
event_38_1_40,analysis_001,zone_entrada_principal,polygon_principal,38,enter,1,40,486,574,2025-08-21T20:23:19.784864
event_40_6_240,analysis_001,zone_entrada_principal,polygon_principal,40,enter,6,240,422,584,2025-08-21T20:23:20.525000
event_41_6_240,analysis_001,zone_zona_restriccion,polygon_restriccion,41,enter,6,240,1174,552,2025-08-21T20:23:20.525101
event_44_11_440,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,11,440,1176,542,2025-08-21T20:23:21.255221
event_50_31_1240,analysis_001,zone_zona_restriccion,polygon_restriccion,50,enter,31,1240,1176,479,2025-08-21T20:23:22.968615
event_4_38_1520,analysis_001,zone_entrada_principal,polygon_principal,4,exit,38,1520,264,654,2025-08-21T20:23:23.467734
event_1_43_1720,analysis_001,zone_zona_restriccion,polygon_restriccion,1,exit,43,1720,1577,710,2025-08-21T20:23:23.804682
event_56_46_1840,analysis_001,zone_zona_restriccion,polygon_restriccion,56,enter,46,1840,1190,442,2025-08-21T20:23:24.068859
event_51_50_2000,analysis_001,zone_entrada_principal,polygon_principal,51,enter,50,2000,38,124,2025-08-21T20:23:24.451555
event_58_52_2080,analysis_001,zone_entrada_principal,polygon_principal,58,enter,52,2080,358,551,2025-08-21T20:23:24.618357
event_59_52_2080,analysis_001,zone_entrada_principal,polygon_principal,59,enter,52,2080,427,592,2025-08-21T20:23:24.618439
event_63_59_2360,analysis_001,zone_entrada_principal,polygon_principal,63,enter,59,2360,93,158,2025-08-21T20:23:25.235381
event_5_60_2400,analysis_001,zone_zona_restriccion,polygon_restriccion,5,enter,60,2400,1110,733,2025-08-21T20:23:25.312918
event_2_62_2480,analysis_001,zone_zona_restriccion,polygon_restriccion,2,exit,62,2480,1601,631,2025-08-21T20:23:25.500802
event_69_76_3040,analysis_001,zone_entrada_principal,polygon_principal,69,enter,76,3040,112,173,2025-08-21T20:23:26.708441
