id,analysis_id,zone_id,line_name,track_id,direction,frame_number,timestamp_ms,position_x,position_y,created_at
crossing_1_2_80,analysis_001,line_entrada_principal,line_principal,1,left_to_right,2,80,1504,561,2025-08-21T20:33:43.697628
crossing_2_38_1520,analysis_001,line_entrada_principal,line_principal,2,left_to_right,38,1520,1550,525,2025-08-21T20:33:47.353214
crossing_5_41_1640,analysis_001,line_entrada_principal,line_principal,5,right_to_left,41,1640,1134,824,2025-08-21T20:33:47.621108
crossing_7_45_1800,analysis_001,line_entrada_principal,line_principal,7,left_to_right,45,1800,1868,295,2025-08-21T20:33:47.969814
crossing_36_62_2480,analysis_001,line_entrada_principal,line_principal,36,left_to_right,62,2480,1799,345,2025-08-21T20:33:49.449870
crossing_54_78_3120,analysis_001,line_entrada_principal,line_principal,54,right_to_left,78,3120,1044,888,2025-08-21T20:33:50.850415
crossing_33_100_4000,analysis_001,line_entrada_principal,line_principal,33,right_to_left,100,4000,1670,432,2025-08-21T20:33:52.731622
crossing_46_103_4120,analysis_001,line_entrada_principal,line_principal,46,left_to_right,103,4120,1803,344,2025-08-21T20:33:53.025050
crossing_67_105_4200,analysis_001,line_entrada_principal,line_principal,67,right_to_left,105,4200,1898,274,2025-08-21T20:33:53.196425
crossing_66_126_5040,analysis_001,line_entrada_principal,line_principal,66,right_to_left,126,5040,1250,738,2025-08-21T20:33:55.035876
crossing_12_194_7760,analysis_001,line_entrada_principal,line_principal,12,right_to_left,194,7760,1785,354,2025-08-21T20:34:00.678907
crossing_19_230_9200,analysis_001,line_entrada_principal,line_principal,19,right_to_left,230,9200,989,930,2025-08-21T20:34:03.816168
crossing_11_257_10280,analysis_001,line_entrada_principal,line_principal,11,right_to_left,257,10280,1253,739,2025-08-21T20:34:06.225608
crossing_74_258_10320,analysis_001,line_entrada_principal,line_principal,74,right_to_left,258,10320,1884,285,2025-08-21T20:34:06.501751
crossing_39_261_10440,analysis_001,line_entrada_principal,line_principal,39,right_to_left,261,10440,1049,890,2025-08-21T20:34:06.782831
crossing_96_303_12120,analysis_001,line_entrada_principal,line_principal,96,right_to_left,303,12120,1140,816,2025-08-21T20:34:10.307631
