id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
event_1_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,1,enter,1,40,1501,554,person,0.8071834,2025-08-25T23:31:05.605910
event_2_1_40,analysis_001,zone_zona_restriccion,polygon_restriccion,2,enter,1,40,1481,399,person,0.78921425,2025-08-25T23:31:05.702836
event_4_1_40,analysis_001,zone_entrada_principal,polygon_principal,4,enter,1,40,292,521,person,0.7685747,2025-08-25T23:31:05.722570
event_16_1_40,analysis_001,zone_entrada_principal,polygon_principal,16,enter,1,40,116,190,person,0.5388613,2025-08-25T23:31:05.747558
event_31_1_40,analysis_001,zone_entrada_principal,polygon_principal,31,enter,1,40,369,567,person,0.34716043,2025-08-25T23:31:05.762535
event_38_1_40,analysis_001,zone_entrada_principal,polygon_principal,38,enter,1,40,486,574,person,0.26961666,2025-08-25T23:31:05.779807
event_40_6_240,analysis_001,zone_entrada_principal,polygon_principal,40,enter,6,240,422,584,person,0.32373974,2025-08-25T23:31:07.917881
event_41_6_240,analysis_001,zone_zona_restriccion,polygon_restriccion,41,enter,6,240,1174,552,person,0.35576436,2025-08-25T23:31:07.932428
event_44_11_440,analysis_001,zone_zona_restriccion,polygon_restriccion,44,enter,11,440,1176,542,person,0.5161153,2025-08-25T23:31:08.883160
event_50_31_1240,analysis_001,zone_zona_restriccion,polygon_restriccion,50,enter,31,1240,1176,479,person,0.48295447,2025-08-25T23:31:13.512556
