Frame,Total_Detections,Confirmed_Objects
1,39,0
2,38,0
3,36,0
4,36,0
5,35,35
6,35,34
7,36,34
8,38,35
9,38,35
10,38,37
11,38,37
12,38,37
13,36,36
14,37,36
15,37,36
16,36,36
17,35,35
18,37,35
19,36,34
20,36,34
21,35,34
22,35,35
23,35,35
24,36,35
25,37,35
26,37,36
27,39,37
28,36,35
29,36,35
30,36,35
31,37,37
32,36,36
33,36,36
34,36,36
35,36,36
36,36,36
37,36,36
38,38,37
39,38,37
40,38,37
41,38,36
42,36,36
43,34,34
44,36,35
45,36,35
46,36,35
47,37,36
48,35,35
49,35,35
50,35,35
51,35,35
52,40,36
53,40,36
54,40,36
55,41,37
56,41,40
57,41,40
58,41,41
59,42,40
60,42,40
61,42,40
62,41,39
63,39,39
64,39,39
65,39,39
66,39,39
67,40,39
68,38,37
69,38,37
70,39,37
71,38,37
72,39,38
73,38,37
74,40,39
75,41,39
76,41,38
77,42,39
78,41,39
79,42,40
80,42,41
81,41,40
82,39,38
83,40,40
84,41,40
85,41,39
86,41,40
87,41,40
88,40,40
89,40,40
90,40,40
91,40,40
92,40,40
93,40,40
94,41,40
95,41,40
96,40,40
97,39,39
98,39,39
99,39,39
100,39,39
101,38,38
102,37,37
103,37,36
104,37,36
105,38,36
106,38,36
107,37,36
108,35,35
109,35,35
110,34,34
111,34,34
112,34,34
113,34,34
114,34,34
115,34,34
116,34,34
117,33,33
118,33,33
119,32,32
120,33,33
121,35,34
122,35,35
123,34,34
124,35,35
125,35,35
126,36,35
127,37,35
128,35,33
129,35,33
130,35,33
131,35,34
132,33,33
133,32,32
134,32,32
135,32,32
136,32,32
137,31,31
138,32,32
139,33,32
140,33,32
141,32,32
142,33,32
143,32,31
144,32,31
145,32,31
146,31,31
147,31,31
148,32,32
149,32,32
150,32,32
151,33,33
152,33,33
153,33,33
154,31,31
155,31,31
156,31,31
157,31,31
158,31,31
159,30,30
160,29,29
161,31,30
162,31,30
163,31,30
164,30,29
165,30,30
166,30,30
167,30,30
168,30,30
169,30,30
170,30,30
171,30,30
172,30,30
173,30,30
174,30,30
175,30,30
176,29,29
177,30,30
178,29,29
179,30,30
180,30,30
181,30,30
182,31,30
183,31,30
184,31,30
185,31,30
186,30,30
187,30,30
188,30,30
189,30,30
190,30,30
191,30,30
192,31,30
193,31,30
194,32,30
195,32,30
196,33,31
197,33,31
198,33,32
199,33,32
200,34,33
201,34,33
202,34,33
203,33,32
204,33,33
205,33,33
206,33,33
207,33,33
208,30,30
209,30,30
210,30,30
211,30,30
212,30,30
213,28,28
214,29,28
215,29,28
216,29,28
217,29,28
218,29,28
219,30,28
220,31,28
221,31,28
222,31,29
223,31,30
224,31,31
225,29,29
226,28,28
227,28,28
228,28,28
229,28,28
230,28,28
231,29,29
232,29,29
233,28,28
234,28,28
235,28,28
236,28,28
237,28,28
238,28,28
239,26,26
240,26,26
241,26,26
242,27,27
243,26,26
244,27,27
245,27,27
246,27,27
247,26,26
248,27,27
249,26,26
250,26,26
251,24,24
252,27,25
253,27,25
254,26,25
255,27,25
256,28,26
257,27,25
258,28,26
259,29,28
260,29,28
261,29,28
262,29,29
263,28,28
264,28,28
265,29,28
266,28,27
267,29,27
268,29,27
269,28,27
270,27,26
271,27,27
272,27,27
273,28,27
274,27,27
275,28,27
276,28,27
277,27,25
278,29,25
279,29,26
280,29,26
281,30,26
282,31,29
283,31,29
284,30,29
285,30,30
286,30,30
287,30,30
288,29,28
289,29,28
290,28,28
291,28,28
292,28,28
293,28,28
294,30,29
295,32,29
296,32,29
297,33,29
298,33,30
299,32,32
300,34,33
301,33,32
302,33,32
303,31,30
304,31,31
305,29,29
306,29,29
307,29,29
308,30,29
309,30,29
310,30,29
311,30,29
312,28,28
313,29,29
314,27,27
315,31,30
316,30,29
317,31,29
318,31,29
319,30,29
320,31,30
321,33,31
322,33,31
323,33,31
324,29,29
325,30,28
326,31,28
327,32,28
328,30,26
329,31,29
330,33,31
331,30,30
332,29,29
333,31,30
334,33,32
335,33,32
336,33,32
337,30,30
338,29,29
339,31,31
340,31,30
341,32,30
