Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	1	1	1	0	0
2	1	1	1	0	0
3	1	1	1	0	0
4	2	1	1	0	0
5	2	1	1	0	0
6	2	1	1	0	0
7	1	1	1	0	0
8	3	2	2	0	0
9	2	2	2	0	0
10	3	2	2	0	0
11	3	2	2	0	0
12	3	2	2	0	0
13	3	2	2	0	0
14	3	2	2	0	0
15	2	2	2	0	0
16	1	1	2	0	0
17	1	1	2	0	0
18	2	2	3	0	0
19	2	2	3	0	0
20	2	2	3	0	0
21	3	2	3	0	0
22	3	2	3	0	0
23	3	3	4	0	0
24	2	2	4	0	0
25	3	3	4	0	0
26	3	3	4	0	0
27	2	2	4	0	1
28	2	2	4	0	1
29	2	2	4	0	1
30	3	2	4	0	1
31	3	2	4	0	1
32	4	3	4	0	1
33	3	2	4	0	1
34	5	3	4	0	1
35	5	3	4	0	1
36	5	3	4	0	1
37	4	2	4	0	1
38	4	2	4	0	1
39	4	2	4	0	1
40	4	2	4	0	1
41	4	2	4	0	1
42	4	2	4	0	1
43	4	2	4	0	1
44	4	2	4	0	1
45	3	2	4	0	1
46	3	2	4	0	1
47	3	2	4	0	1
48	3	2	4	0	1
49	3	2	4	0	1
50	3	2	4	0	1
51	4	3	4	0	1
52	2	1	4	0	1
53	3	2	4	0	1
54	3	2	4	0	1
55	4	3	4	0	1
56	4	3	4	0	1
57	4	3	4	0	1
58	4	3	4	0	1
59	4	3	4	0	1
60	4	3	4	0	1
61	4	3	4	0	1
62	4	3	4	0	1
63	3	3	4	0	1
64	4	3	4	0	1
65	4	3	4	0	1
66	4	3	4	0	1
67	5	3	4	0	1
68	4	3	4	0	1
69	4	3	4	0	1
70	4	3	4	0	1
71	4	3	4	0	1
72	4	3	4	0	1
73	3	3	4	0	1
74	3	3	4	0	1
75	3	3	4	0	1
76	3	3	4	0	1
77	3	3	4	0	1
78	3	3	4	0	1
79	2	2	4	0	1
80	2	2	4	0	1
81	3	2	4	0	1
82	3	2	4	0	1
83	2	2	4	0	1
84	3	2	4	0	1
85	3	2	4	0	1
86	3	2	4	0	1
87	2	2	4	0	1
88	3	2	4	0	1
89	3	2	4	0	1
90	3	2	4	0	1
91	3	2	4	0	1
92	4	3	5	0	1
93	4	3	5	0	1
94	4	3	5	0	1
95	4	3	5	0	1
96	4	3	5	0	1
97	4	3	5	0	1
98	4	3	5	0	1
99	4	3	5	0	1
100	4	3	5	0	1
101	4	3	5	0	1
102	4	3	5	0	1
103	4	3	5	0	1
104	4	3	5	0	1
105	4	3	5	0	1
106	4	3	5	0	1
107	4	3	5	0	1
108	4	3	5	0	1
109	3	2	5	0	1
110	3	2	5	0	1
111	2	1	5	0	1
112	2	2	5	0	1
113	2	2	5	0	1
114	2	2	5	0	1
115	2	2	5	0	1
116	2	2	5	0	1
117	2	2	5	0	1
118	2	2	5	0	1
119	3	2	5	0	1
120	3	2	5	0	1
121	4	2	5	0	1
122	3	2	5	0	1
123	4	2	5	0	1
124	3	2	5	0	2
125	4	2	5	0	2
126	4	2	5	0	2
127	2	1	5	0	2
128	2	1	5	0	2
129	2	1	5	0	2
130	2	1	5	0	2
131	2	1	5	0	2
132	2	1	5	0	2
133	2	1	5	0	2
134	2	1	5	0	2
135	2	1	5	0	2
136	1	1	5	0	2
137	1	1	5	0	2
138	1	1	5	0	2
139	1	1	5	0	2
140	2	2	6	0	2
141	3	2	6	0	2
142	3	2	6	0	2
143	3	2	6	0	2
144	3	2	6	0	2
145	3	2	6	0	2
146	3	2	6	0	2
147	3	2	6	0	2
148	3	2	6	0	2
149	3	2	6	0	2
150	4	3	7	0	2
151	4	3	7	0	2
152	4	3	7	0	2
153	3	2	7	0	2
154	4	3	7	0	2
155	4	3	7	0	2
156	4	3	7	0	2
157	4	3	7	0	2
158	4	3	7	0	2
159	4	3	7	0	3
160	4	3	7	0	3
161	4	3	7	0	3
162	4	3	7	0	3
163	4	3	7	0	3
164	4	3	7	0	3
165	4	3	7	0	3
166	4	3	7	0	3
167	3	3	7	0	3
168	4	3	7	0	3
169	4	3	7	0	3
170	4	3	7	0	3
171	3	3	7	0	3
172	2	2	7	0	3
173	2	2	7	0	3
174	2	2	7	0	3
175	2	2	7	0	3
176	2	2	7	0	3
177	2	2	7	0	3
178	2	2	7	0	3
179	1	1	7	0	3
180	1	1	7	0	3
181	2	2	7	0	3
182	2	2	7	0	3
183	1	1	7	0	3
184	1	1	7	0	3
185	2	1	7	0	3
186	1	1	7	0	3
187	2	2	7	0	3
188	2	2	7	0	3
189	2	1	7	0	3
190	3	2	7	0	3
191	3	2	7	0	3
192	3	2	7	0	3
193	3	2	7	0	3
194	3	2	7	0	3
195	3	2	7	0	3
196	3	2	7	0	3
197	3	2	7	0	3
198	3	2	7	0	3
199	3	2	7	0	3
200	3	2	7	0	3
201	3	2	7	0	3
202	3	2	7	0	3
203	3	2	7	0	3
204	3	2	7	0	3
205	3	2	7	0	3
206	3	2	7	0	3
207	2	2	7	0	3
208	3	2	7	0	3
209	2	2	7	0	3
210	3	2	7	0	3
211	3	2	7	0	3
212	3	2	7	0	3
213	3	2	7	0	3
214	3	2	7	0	3
215	2	2	7	0	3
216	2	2	7	0	3
217	3	2	7	0	3
218	3	3	8	0	3
219	2	1	8	0	3
220	3	2	8	0	3
221	3	2	8	0	3
222	3	2	8	0	3
223	3	2	8	0	3
224	3	2	8	0	3
225	3	2	8	0	3
226	3	2	8	0	3
227	3	2	8	0	3
228	2	1	8	0	3
229	2	2	8	0	3
230	2	2	8	0	3
231	3	2	8	0	3
232	2	2	8	0	3
233	2	2	8	0	3
234	2	2	8	0	3
235	3	3	8	0	3
236	3	3	8	0	3
237	3	3	8	0	3
238	3	3	8	0	3
239	3	3	8	0	3
240	3	3	8	0	3
241	4	3	8	0	3
242	3	3	8	0	3
243	4	3	8	0	3
244	3	3	8	0	3
245	4	3	8	0	3
246	3	3	8	0	3
247	4	3	8	0	3
248	3	3	8	0	3
249	3	3	8	0	3
250	3	3	8	0	3
251	3	2	8	0	3
252	3	2	8	0	3
253	3	2	8	0	3
254	3	2	8	0	3
255	3	2	8	0	3
256	3	2	8	0	3
257	3	2	8	0	3
258	3	2	8	0	3
259	3	2	8	0	3
260	3	2	8	0	3
261	4	3	8	0	3
262	3	2	8	0	3
263	3	2	8	0	3
264	3	2	8	0	3
265	3	2	8	0	3
266	3	2	8	0	3
267	3	2	8	0	3
268	2	2	8	0	3
269	3	2	8	0	3
270	3	2	8	0	3
271	2	2	8	0	3
272	2	2	8	0	3
273	3	2	8	0	3
274	3	2	8	0	3
275	3	2	8	0	3
276	3	2	8	0	3
277	1	0	8	0	3
278	2	1	9	0	3
279	2	1	9	0	3
280	2	1	9	0	3
281	3	2	10	0	3
282	3	2	10	0	3
283	2	2	10	0	3
284	2	2	10	0	3
285	2	2	10	0	3
286	2	2	10	0	3
287	2	2	10	0	3
288	2	2	10	0	3
289	2	2	10	0	3
290	2	2	10	0	3
291	1	1	10	0	3
292	2	2	10	0	3
293	2	2	10	0	3
294	2	2	10	0	3
295	2	2	10	0	3
296	2	2	10	0	3
297	2	2	10	0	3
298	2	2	10	0	3
299	2	2	10	0	3
300	2	2	10	0	3
301	2	2	10	0	3
302	2	2	10	0	3
303	2	2	10	0	3
304	2	2	10	0	3
305	2	2	10	0	3
306	2	2	10	0	3
307	0	0	10	0	3
308	0	0	10	0	3
309	0	0	10	0	3
310	0	0	10	0	3
311	0	0	10	0	3
312	0	0	10	0	3
313	0	0	10	0	3
314	2	1	11	0	3
315	2	2	11	0	3
316	2	2	11	0	3
317	3	2	11	0	3
318	2	1	11	0	3
319	1	1	11	0	3
320	1	1	11	0	3
321	2	2	11	0	3
322	2	2	11	0	3
323	2	2	11	0	3
324	2	2	11	0	3
325	3	2	11	0	3
326	3	2	11	0	3
327	2	2	11	0	3
328	2	2	11	0	3
329	1	1	11	0	3
330	1	1	11	0	3
331	2	1	11	0	3
332	2	1	11	0	3
333	0	0	11	0	3
334	1	0	11	0	3
335	3	2	11	0	3
336	3	2	11	0	3
337	3	2	11	0	3
338	3	2	11	0	3
339	2	1	11	0	3
340	2	1	11	0	3
341	2	1	11	0	3
342	2	1	11	0	3
343	2	1	11	0	3
344	2	1	11	0	3
345	2	2	11	0	3
346	3	2	11	0	3
347	3	2	11	0	3
348	3	2	11	0	3
349	1	1	11	0	3
350	1	1	11	0	3
351	2	2	11	0	3
352	2	2	11	0	3
353	2	2	11	0	3
354	3	2	11	0	3
355	2	1	11	0	3
356	2	1	11	0	3
357	4	2	11	0	3
358	3	2	11	0	3
359	3	2	11	0	3
360	3	2	11	0	3
361	3	2	11	0	3
362	4	2	11	0	3
363	4	2	11	0	4
364	3	2	11	0	4
365	3	2	11	0	4
366	3	2	11	0	4
367	3	2	11	0	4
368	3	2	11	0	4
369	2	2	11	0	4
370	2	2	11	0	4
371	3	2	11	0	4
372	2	2	11	0	4
373	2	1	11	0	4
374	2	1	11	0	4
375	2	1	11	0	4
376	1	0	11	0	4
377	2	1	11	0	4
378	1	0	11	0	4
379	1	0	11	0	4
