Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	8	1	1	0	0
2	8	1	1	0	0
3	8	1	1	0	0
4	8	1	1	0	0
5	8	1	1	0	0
6	8	1	1	0	0
7	8	1	1	0	0
8	8	1	1	0	0
9	8	1	1	0	0
10	8	1	1	0	0
11	8	1	1	0	0
12	8	1	1	0	0
13	8	1	1	0	0
14	8	1	1	0	0
15	8	1	1	0	0
16	8	1	1	0	0
17	8	1	1	0	0
18	8	1	1	0	0
19	8	1	1	0	0
20	8	1	1	0	0
21	8	1	1	0	0
22	8	1	1	0	0
23	9	1	1	0	0
24	9	1	1	0	0
25	9	1	1	0	0
26	9	1	1	0	0
27	9	1	1	0	0
28	9	1	1	0	0
29	9	1	1	0	0
30	9	1	1	0	0
31	9	1	1	0	0
32	9	1	1	0	0
33	9	1	1	0	0
34	9	1	1	0	0
35	9	1	1	0	0
36	9	1	1	0	0
37	9	1	1	0	0
38	9	1	1	0	0
39	9	1	1	0	0
40	9	1	1	0	0
41	9	1	1	0	0
42	9	1	1	0	0
43	9	1	1	0	0
44	9	1	1	0	0
45	9	1	1	0	0
46	9	1	1	0	0
47	9	1	1	0	0
48	9	1	1	0	0
49	9	1	1	0	0
50	8	1	1	0	0
51	8	1	1	0	0
52	9	1	1	0	0
53	9	1	1	0	0
54	9	1	1	0	0
55	9	1	1	0	0
56	9	1	1	0	0
57	9	1	1	0	0
58	10	1	1	0	0
59	10	1	1	0	0
60	10	1	1	0	0
61	10	1	1	0	0
62	10	1	1	0	0
63	10	1	1	0	0
64	10	1	1	0	0
65	10	1	1	0	0
66	10	1	1	0	0
67	10	1	1	0	0
68	10	1	1	0	0
69	10	1	1	0	0
70	10	1	1	0	0
71	10	1	1	0	0
72	10	1	1	0	0
73	11	2	2	0	0
74	11	2	2	0	0
75	11	2	2	0	0
76	11	2	2	0	0
77	11	2	2	0	0
78	11	2	2	0	0
79	11	2	2	0	0
80	11	2	2	0	0
81	11	2	2	0	0
82	11	2	2	0	0
83	11	2	2	0	0
84	11	2	2	0	0
85	11	2	2	0	0
86	11	2	2	0	0
87	11	2	2	0	0
88	11	2	2	0	0
89	11	2	2	0	0
90	11	2	2	0	0
91	11	2	2	0	0
92	11	2	2	0	0
93	11	2	2	0	0
94	11	2	2	0	0
95	11	2	2	0	0
96	11	2	2	0	0
97	11	2	2	0	0
98	11	2	2	0	0
99	11	2	2	0	0
100	11	2	2	0	0
101	11	2	2	0	0
102	11	2	2	0	0
103	11	2	2	0	0
104	11	2	2	0	0
105	11	2	2	0	0
106	11	2	2	0	0
107	12	2	2	0	0
108	12	2	2	0	0
109	12	2	2	0	0
110	12	2	2	0	0
111	12	2	2	0	0
112	12	2	2	0	0
113	12	2	2	0	0
114	12	2	2	0	0
115	12	2	2	0	0
116	12	2	2	0	0
117	12	2	2	0	0
118	12	2	2	0	0
119	12	2	2	0	0
120	12	2	2	0	0
121	12	2	2	0	0
122	12	2	2	0	0
123	12	2	2	0	0
124	12	2	2	0	0
125	12	2	2	0	0
126	12	2	2	0	0
127	12	2	2	0	0
128	12	2	2	0	0
129	12	2	2	0	0
130	12	2	2	0	0
131	12	2	2	0	0
132	12	2	2	0	0
133	12	2	2	0	0
134	12	2	2	0	0
135	12	2	2	0	0
136	12	2	2	0	0
137	12	2	2	0	0
138	12	2	2	0	0
139	12	2	2	0	0
140	12	2	2	0	0
141	12	2	2	0	0
142	12	2	2	0	0
143	13	2	2	0	0
144	13	2	2	0	0
145	13	2	2	0	0
146	12	2	2	0	0
147	12	2	2	0	0
148	12	2	2	0	0
149	12	2	2	0	0
150	12	2	2	0	0
151	12	2	2	0	0
152	12	2	2	0	0
153	12	2	2	0	0
154	12	2	2	0	0
155	12	2	2	0	0
156	13	2	2	0	0
157	13	2	2	0	0
158	12	2	2	0	0
159	13	3	3	0	0
160	11	2	3	0	0
161	11	2	3	0	0
162	11	2	3	0	0
163	11	2	3	0	0
164	11	2	3	0	0
165	10	2	3	0	0
166	10	2	3	0	0
167	11	2	3	0	0
168	11	2	3	0	0
169	11	2	3	0	0
170	10	2	3	0	0
171	10	2	3	0	0
172	10	2	3	0	0
173	9	2	3	0	0
174	10	2	3	0	0
175	10	2	3	0	0
176	10	2	3	0	0
177	11	2	3	0	0
178	12	2	3	0	0
179	12	2	3	0	0
180	12	2	3	0	0
181	12	2	3	0	0
182	12	2	3	0	0
183	12	2	3	0	0
184	12	2	3	0	0
185	12	2	3	0	0
186	12	2	3	0	0
187	12	2	3	0	0
188	12	2	3	0	0
189	12	2	3	0	0
190	12	2	3	0	0
191	13	2	3	0	0
192	13	2	3	0	0
193	13	2	3	0	0
194	13	2	3	0	0
195	13	2	3	0	0
196	13	2	3	0	0
197	13	2	3	0	0
198	12	1	3	0	0
199	12	1	3	0	0
200	12	1	3	0	0
201	12	1	3	0	0
202	12	1	3	0	0
203	12	1	3	0	0
204	13	1	3	0	0
205	13	1	3	0	0
206	13	1	3	0	0
207	12	1	3	0	0
208	13	1	3	0	0
209	12	1	3	0	0
210	12	1	3	0	0
211	12	1	3	0	0
212	13	2	4	0	0
213	13	2	4	0	0
214	13	2	4	0	0
215	13	2	4	0	0
216	12	1	4	0	0
217	12	1	4	0	0
218	12	1	4	0	0
219	13	2	4	0	0
220	13	2	4	0	0
221	13	2	4	0	0
222	13	1	4	0	0
223	12	1	4	0	0
224	12	1	4	0	0
225	12	1	4	0	0
226	12	1	4	0	0
