Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	7	0	0	0	0
2	6	0	0	0	0
3	6	0	0	0	0
4	6	0	0	0	0
5	5	0	0	0	0
6	5	0	0	0	0
7	6	0	0	0	0
8	6	0	0	0	0
9	7	0	0	0	0
10	7	0	0	0	0
11	8	0	0	0	0
12	8	0	0	0	0
13	9	1	1	0	0
14	9	1	1	0	0
15	9	1	1	0	0
16	10	1	1	0	0
17	9	1	1	0	0
18	10	1	1	0	0
19	10	1	1	0	0
20	10	1	1	0	0
21	10	1	1	0	0
22	10	1	1	0	0
23	10	1	1	0	0
24	10	1	1	0	0
25	10	1	1	0	0
26	10	1	1	0	0
27	9	0	1	0	0
28	9	0	1	0	0
29	9	0	1	0	0
30	10	1	1	0	0
31	9	1	1	0	0
32	10	1	1	0	0
33	10	1	1	0	0
34	10	1	1	0	0
35	10	1	1	0	0
36	9	0	1	0	0
37	9	0	1	0	0
38	9	0	1	0	0
39	9	0	1	0	0
40	10	1	1	0	0
41	10	1	1	0	0
42	10	1	1	0	0
43	10	1	1	0	0
44	10	1	1	0	0
45	10	1	1	0	0
46	9	1	1	0	0
47	9	1	1	0	0
48	10	1	1	0	0
49	10	1	1	0	0
50	10	1	1	0	0
51	11	1	1	0	0
52	9	0	1	0	0
53	11	0	1	0	0
54	11	0	1	0	0
55	12	1	1	0	0
56	10	1	1	0	0
57	13	1	1	0	0
58	12	1	1	0	0
59	13	1	1	0	0
60	13	1	1	0	0
61	10	1	1	0	0
62	11	1	1	0	0
63	11	1	1	0	0
64	11	1	1	0	0
65	11	1	1	0	0
66	11	1	1	0	0
67	11	1	1	0	0
68	11	1	1	0	0
69	11	1	1	0	0
70	11	1	1	0	0
71	11	1	1	0	0
72	11	1	1	0	0
73	11	1	1	0	0
74	11	1	1	0	0
75	11	1	1	0	0
76	12	2	2	0	0
77	10	2	2	0	0
78	12	2	2	0	0
79	11	2	2	0	0
80	11	2	2	0	0
81	11	2	2	0	0
82	11	2	2	0	0
83	11	2	2	0	0
84	11	2	2	0	0
85	11	2	2	0	0
86	10	2	2	0	0
87	10	2	2	0	0
88	10	2	2	0	0
89	11	2	2	0	0
90	10	2	2	0	0
91	10	2	2	0	0
92	9	1	2	0	0
93	9	1	2	0	0
94	10	2	2	0	0
95	11	2	2	0	0
96	10	2	2	0	0
97	9	1	2	0	0
98	9	1	2	0	0
99	10	1	2	0	0
100	10	1	2	0	0
101	11	2	2	0	0
102	11	2	2	0	0
103	11	2	2	0	0
104	11	2	2	0	0
105	11	2	2	0	0
106	10	2	2	0	0
107	10	2	2	0	0
108	10	2	2	0	0
109	10	2	2	0	0
110	10	2	2	0	0
111	10	2	2	0	0
112	11	2	2	0	0
113	11	2	2	0	0
114	11	2	2	0	0
115	11	2	2	0	0
116	11	2	2	0	0
117	11	2	2	0	0
118	11	2	2	0	0
119	11	2	2	0	0
120	11	2	2	0	0
121	10	2	2	0	0
122	10	2	2	0	0
123	10	2	2	0	0
124	10	2	2	0	0
125	11	2	2	0	0
126	11	2	2	0	0
127	11	2	2	0	0
128	10	2	2	0	0
129	11	2	2	0	0
130	10	2	2	0	0
131	10	2	2	0	0
132	10	2	2	0	0
133	10	2	2	0	0
134	10	2	2	0	0
135	11	2	2	0	0
136	10	2	2	0	0
137	10	2	2	0	0
138	10	2	2	0	0
139	10	2	2	0	0
140	10	2	2	0	0
141	9	2	2	0	0
142	10	2	2	0	0
143	11	2	2	0	0
144	11	2	2	0	0
145	11	2	2	0	0
146	10	2	2	0	0
147	10	2	2	0	0
148	10	2	2	0	0
149	9	2	2	0	0
150	10	2	2	0	0
151	11	2	2	0	0
152	11	2	2	0	0
153	11	2	2	0	0
154	11	2	2	0	0
155	11	2	2	0	0
156	11	2	2	0	0
157	11	2	2	0	0
158	8	2	2	0	0
159	9	2	2	0	0
160	10	2	2	0	0
161	9	2	2	0	0
162	9	2	2	0	0
163	8	2	2	0	0
164	8	2	2	0	0
165	8	2	2	0	0
166	8	2	2	0	0
167	8	2	2	0	0
168	7	2	2	0	0
169	7	2	2	0	0
170	8	2	2	0	0
171	8	2	2	0	0
172	8	2	2	0	0
173	8	2	2	0	0
174	8	2	2	0	0
175	8	2	2	0	0
176	9	2	2	0	0
177	9	2	2	0	0
178	9	2	2	0	0
179	9	2	2	0	0
180	9	2	2	0	0
181	8	2	2	0	0
182	8	2	2	0	0
183	8	2	2	0	0
184	8	2	2	0	0
185	8	2	2	0	0
186	8	2	2	0	0
187	9	2	2	0	0
188	9	2	2	0	0
189	9	2	2	0	0
190	9	2	2	0	0
191	9	2	2	0	0
192	9	2	2	0	0
193	9	2	2	0	0
194	9	2	2	0	0
195	9	2	2	0	0
196	11	2	2	0	0
197	10	2	2	0	0
