Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	2	0	0	0	0
2	2	0	0	0	0
3	2	0	0	0	0
4	2	0	0	0	0
5	2	0	0	0	0
6	2	0	0	0	0
7	2	0	0	0	0
8	2	0	0	0	0
9	2	0	0	0	0
10	2	0	0	0	0
11	2	0	0	0	0
12	2	0	0	0	0
13	2	0	0	0	0
14	1	0	0	0	0
15	1	0	0	0	0
16	3	0	0	0	0
17	3	0	0	0	0
18	3	0	0	0	0
19	3	0	0	0	0
20	3	0	0	0	0
21	3	0	0	0	0
22	3	0	0	0	0
23	3	0	0	0	0
24	3	0	0	0	0
25	3	0	0	0	0
26	3	0	0	0	0
27	3	0	0	0	0
28	3	0	0	0	0
29	3	0	0	0	0
30	3	0	0	0	0
31	3	0	0	0	0
32	3	0	0	0	0
33	2	0	0	0	0
34	2	0	0	0	0
35	2	0	0	0	0
36	2	0	0	0	0
37	2	0	0	0	0
38	2	0	0	0	0
39	2	0	0	0	0
40	2	0	0	0	0
41	2	0	0	0	0
42	2	0	0	0	0
43	2	0	0	0	0
44	2	0	0	0	0
45	2	0	0	0	0
46	2	0	0	0	0
47	2	0	0	0	0
48	2	0	0	0	0
49	2	0	0	0	0
50	2	0	0	0	0
51	2	0	0	0	0
52	2	0	0	0	0
53	2	0	0	0	0
54	2	0	0	0	0
55	2	0	0	0	0
56	2	0	0	0	0
57	2	0	0	0	0
58	2	0	0	0	0
59	2	0	0	0	0
60	2	0	0	0	0
