Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	8	1	1	0	0
2	8	1	1	0	0
3	8	1	1	0	0
4	8	1	1	0	0
5	8	1	1	0	0
6	8	1	1	0	0
7	8	1	1	0	0
8	8	1	1	0	0
9	8	1	1	0	0
10	8	1	1	0	0
11	8	1	1	0	0
12	8	1	1	0	0
13	8	1	1	0	0
14	8	1	1	0	0
15	8	1	1	0	0
16	8	1	1	0	0
17	8	1	1	0	0
18	8	1	1	0	0
19	8	1	1	0	0
20	8	1	1	0	0
21	8	1	1	0	0
22	8	1	1	0	0
23	8	1	1	0	0
24	8	1	1	0	0
25	8	1	1	0	0
26	8	1	1	0	0
27	8	1	1	0	0
28	8	1	1	0	0
29	8	1	1	0	0
30	8	1	1	0	0
31	8	1	1	0	0
32	9	1	1	0	0
33	9	1	1	0	0
34	9	1	1	0	0
35	9	1	1	0	0
36	9	1	1	0	0
37	9	1	1	0	0
38	9	1	1	0	0
39	9	1	1	0	0
40	9	1	1	0	0
41	9	1	1	0	0
42	9	1	1	0	0
43	9	1	1	0	0
44	9	1	1	0	0
45	9	1	1	0	0
46	9	1	1	0	0
47	10	1	1	0	0
48	10	1	1	0	0
49	10	1	1	0	0
50	10	1	1	0	0
51	10	1	1	0	0
52	10	1	1	0	0
53	10	1	1	0	0
54	10	1	1	0	0
55	10	1	1	0	0
56	10	1	1	0	0
57	10	1	1	0	0
58	10	1	1	0	0
59	10	1	1	0	0
60	10	1	1	0	0
61	10	1	1	0	0
62	10	1	1	0	0
63	10	1	1	0	0
64	10	1	1	0	0
65	10	1	1	0	0
66	10	1	1	0	0
67	10	1	1	0	0
68	10	1	1	0	0
69	10	1	1	0	0
70	10	1	1	0	0
71	10	1	1	0	0
72	11	2	2	0	0
73	11	2	2	0	0
74	11	2	2	0	0
75	11	2	2	0	0
76	11	2	2	0	0
77	11	2	2	0	0
78	11	2	2	0	0
79	11	2	2	0	0
80	11	2	2	0	0
81	11	2	2	0	0
82	11	2	2	0	0
83	11	2	2	0	0
84	11	2	2	0	0
85	11	2	2	0	0
86	11	2	2	0	0
87	11	2	2	0	0
88	11	2	2	0	0
89	11	2	2	0	0
90	11	2	2	0	0
91	11	2	2	0	0
92	11	2	2	0	0
93	11	2	2	0	0
94	11	2	2	0	0
95	11	2	2	0	0
96	11	2	2	0	0
97	11	2	2	0	0
98	11	2	2	0	0
99	11	2	2	0	0
100	12	2	2	0	0
101	12	2	2	0	0
102	12	2	2	0	0
103	12	2	2	0	0
104	12	2	2	0	0
105	12	2	2	0	0
106	12	2	2	0	0
107	12	2	2	0	0
108	12	2	2	0	0
109	12	2	2	0	0
110	12	2	2	0	0
111	12	2	2	0	0
112	12	2	2	0	0
113	12	2	2	0	0
114	12	2	2	0	0
115	12	2	2	0	0
116	12	2	2	0	0
117	12	2	2	0	0
118	12	2	2	0	0
119	12	2	2	0	0
120	12	2	2	0	0
121	12	2	2	0	0
122	12	2	2	0	0
123	11	2	2	0	0
124	11	2	2	0	0
125	11	2	2	0	0
126	11	2	2	0	0
127	11	2	2	0	0
128	11	2	2	0	0
129	11	2	2	0	0
130	11	2	2	0	0
131	11	2	2	0	0
132	11	2	2	0	0
133	11	2	2	0	0
134	11	2	2	0	0
135	11	2	2	0	0
136	11	2	2	0	0
137	11	2	2	0	0
138	11	2	2	0	0
139	11	2	2	0	0
140	12	2	2	0	0
141	12	2	2	0	0
142	11	2	2	0	0
143	13	2	2	0	0
144	13	2	2	0	0
145	12	2	2	0	0
146	11	2	2	0	0
147	10	2	2	0	0
148	11	2	2	0	0
149	10	1	2	0	0
150	10	2	2	0	0
151	10	2	2	0	0
152	10	1	2	0	0
153	10	2	2	0	0
154	11	2	2	0	0
155	11	2	2	0	0
156	11	2	2	0	0
157	11	2	2	0	0
158	10	2	2	0	0
159	11	3	3	0	0
160	10	3	3	0	0
161	10	3	3	0	0
162	9	2	3	0	0
163	9	2	3	0	0
164	9	2	3	0	0
165	8	2	3	0	0
166	7	2	3	0	0
167	7	2	3	0	0
168	8	2	3	0	0
169	7	1	3	0	0
170	8	2	3	0	0
171	8	2	3	0	0
172	7	2	3	0	0
173	7	2	3	0	0
174	7	2	3	0	0
175	7	2	3	0	0
176	7	2	3	0	0
177	7	2	3	0	0
178	9	2	3	0	0
179	9	2	3	0	0
180	9	2	3	0	0
181	9	2	3	0	0
182	9	2	3	0	0
183	9	2	3	0	0
184	9	2	3	0	0
185	9	2	3	0	0
186	9	2	3	0	0
187	8	2	3	0	0
188	7	2	3	0	0
189	8	1	3	0	0
190	8	2	3	0	0
191	8	2	3	0	0
192	8	2	3	0	0
193	8	2	3	0	0
194	8	2	3	0	0
195	8	2	3	0	0
196	9	2	3	0	0
197	10	2	3	0	0
198	9	1	3	0	0
199	9	1	3	0	0
200	9	1	3	0	0
201	9	1	3	0	0
202	9	1	3	0	0
203	9	1	3	0	0
204	9	1	3	0	0
205	9	1	3	0	0
206	10	1	3	0	0
207	10	1	3	0	0
208	10	1	3	0	0
209	10	1	3	0	0
210	10	1	3	0	0
211	10	1	3	0	0
212	10	1	3	0	0
213	10	1	3	0	0
214	10	1	3	0	0
215	10	1	3	0	0
216	10	1	3	0	0
217	10	1	3	0	0
218	10	1	3	0	0
219	10	1	3	0	0
220	10	1	3	0	0
221	10	1	3	0	0
222	10	1	3	0	0
223	10	1	3	0	0
224	10	1	3	0	0
225	10	1	3	0	0
226	10	1	3	0	0
