Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	41	0	0	0	0
2	40	0	0	0	0
3	39	0	0	0	0
4	39	0	0	0	0
5	37	35	35	7	0
6	38	34	35	7	0
7	38	34	35	7	0
8	39	34	35	7	0
9	39	34	35	7	0
10	39	36	37	8	0
11	40	37	38	8	0
12	39	36	38	8	0
13	38	36	38	8	0
14	39	36	38	8	0
15	39	36	38	8	0
16	39	36	38	8	0
17	37	35	38	8	0
18	37	34	38	8	0
19	36	34	39	9	0
20	37	34	39	9	0
21	37	34	39	9	0
22	37	35	40	9	0
23	37	34	40	9	0
24	38	35	40	9	0
25	39	35	40	9	0
26	39	36	41	9	0
27	40	37	41	9	0
28	37	35	41	9	0
29	36	34	41	9	0
30	36	34	41	9	0
31	38	36	43	9	0
32	38	36	43	9	0
33	37	36	43	9	0
34	37	36	43	9	0
35	37	36	43	9	0
36	37	36	43	9	0
37	37	36	43	9	0
38	38	37	43	9	0
39	38	37	43	9	0
40	39	36	43	9	0
41	39	35	43	9	0
42	39	35	44	9	0
43	35	34	44	9	0
44	37	35	44	9	0
45	38	34	44	9	0
46	36	33	44	9	0
47	38	35	44	9	0
48	35	35	45	10	0
49	36	35	45	10	0
50	37	35	45	10	0
51	37	35	45	10	0
52	41	35	45	10	0
53	41	35	45	10	0
54	41	36	45	10	0
55	41	36	45	10	0
56	41	40	48	11	0
57	41	39	48	11	0
58	41	40	49	11	0
59	42	39	49	11	0
60	42	40	49	11	0
61	42	39	49	11	0
62	42	39	49	11	0
63	39	39	49	11	0
64	40	39	50	11	0
65	40	38	50	11	0
66	38	38	50	11	0
67	40	39	50	11	0
68	39	36	50	11	0
69	39	36	50	11	0
70	40	36	50	11	0
71	38	36	51	11	0
72	39	38	51	11	0
73	38	36	51	11	0
74	40	39	52	12	0
75	41	39	52	12	0
76	42	38	52	12	0
77	42	39	52	12	0
78	41	39	53	12	0
79	42	40	54	12	0
80	42	41	55	12	0
81	41	39	55	12	0
82	41	38	55	12	0
83	40	40	56	12	0
84	41	40	56	12	0
85	42	39	56	12	0
86	41	40	56	13	0
87	41	40	56	13	0
88	40	40	57	14	0
89	40	40	57	14	0
90	40	40	57	14	0
91	40	40	57	14	0
92	40	40	57	14	0
93	40	40	57	14	0
94	41	40	57	14	0
95	41	40	57	14	0
96	40	40	57	14	0
97	39	39	57	14	0
98	39	38	57	14	0
99	39	39	57	14	0
100	39	39	57	14	0
101	38	38	57	14	0
102	37	37	57	14	0
103	38	36	57	14	0
104	38	35	57	14	0
105	39	36	57	14	0
106	39	36	57	14	0
107	38	37	58	14	0
108	36	36	58	14	0
109	36	36	58	14	0
110	35	34	58	14	0
111	35	34	58	14	0
112	35	35	58	14	0
113	35	34	58	14	0
114	34	34	58	14	0
115	34	34	58	14	0
116	34	33	58	14	0
117	33	33	58	14	0
118	33	32	58	14	0
119	33	32	58	14	0
120	33	33	58	14	0
121	36	34	58	14	0
122	36	35	59	14	0
123	35	34	59	14	0
124	35	34	59	14	0
125	36	35	59	15	0
126	37	35	59	15	0
127	38	35	59	15	0
128	35	33	59	15	0
129	36	33	59	15	0
130	36	33	60	16	0
131	36	34	61	16	0
132	34	33	61	16	0
133	33	33	61	16	0
134	33	33	61	16	0
135	32	32	61	16	0
136	32	32	61	16	0
137	31	30	61	16	0
138	32	31	61	16	0
139	34	32	61	16	0
140	34	32	61	16	0
141	33	32	61	16	0
142	34	32	61	16	0
143	32	31	61	16	0
144	32	31	61	16	0
145	32	31	61	16	0
146	31	31	61	17	0
147	31	31	61	17	0
148	32	32	61	17	0
149	32	32	61	17	0
150	32	32	61	17	0
151	33	33	62	17	0
152	34	32	62	17	0
153	34	32	62	17	0
154	31	30	62	17	0
155	31	30	62	17	0
156	32	31	62	17	0
157	31	31	62	17	0
158	31	30	62	17	0
159	31	30	62	17	0
160	30	29	62	17	0
161	31	30	62	17	0
162	31	29	62	17	0
163	31	30	62	17	0
164	30	29	62	17	0
165	30	30	63	17	0
166	30	30	63	17	0
167	30	30	63	17	0
168	30	30	63	17	0
169	30	30	63	17	0
170	30	30	63	17	0
171	30	30	63	17	0
172	30	30	63	17	0
173	30	30	63	17	0
174	30	30	63	17	0
175	30	30	63	17	0
176	30	29	63	17	0
177	30	30	63	17	0
178	30	28	63	17	0
179	30	30	63	17	0
180	30	30	63	17	0
181	30	30	63	17	0
182	31	29	63	17	0
183	32	29	63	17	0
184	30	29	63	17	0
185	31	30	63	17	0
186	30	30	63	17	0
187	30	30	63	17	0
188	30	30	63	17	0
189	30	30	63	17	0
190	30	30	63	17	0
191	30	30	63	17	0
192	31	30	63	17	0
193	31	30	63	17	0
194	32	30	63	17	0
195	32	30	63	17	0
196	33	31	64	17	0
197	33	31	64	17	0
198	33	32	65	17	0
199	33	32	65	17	0
200	34	33	66	17	0
201	34	33	66	17	0
202	34	33	66	17	0
203	33	32	66	17	0
204	33	33	67	17	0
205	33	33	67	17	0
206	34	33	67	17	0
207	35	33	67	17	0
208	32	29	67	17	0
209	30	28	67	17	0
210	31	29	67	17	0
211	31	28	67	18	0
212	31	30	68	18	0
213	29	28	68	18	0
214	30	28	68	18	0
215	30	28	68	18	0
216	31	28	68	18	0
217	32	27	68	18	0
218	32	28	69	19	0
219	31	28	69	19	0
220	32	28	69	19	0
