Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	41	39	39	4	0
2	40	38	39	4	0
3	39	36	39	4	0
4	39	36	39	4	0
5	37	35	39	4	0
6	38	36	41	5	0
7	38	36	42	5	0
8	39	37	42	5	0
9	39	38	43	5	0
10	39	37	43	5	0
11	40	39	45	6	0
12	39	37	45	6	0
13	38	36	45	6	0
14	39	38	45	6	0
15	39	37	45	6	0
16	39	36	45	6	0
17	37	35	45	6	0
18	37	36	46	6	0
19	36	35	46	6	0
20	37	35	46	6	0
21	37	36	46	6	0
22	37	36	47	6	0
23	37	35	47	6	0
24	38	37	47	6	0
25	39	38	48	6	0
26	39	37	48	6	0
27	40	39	49	6	0
28	37	36	49	6	0
29	36	36	49	6	0
30	36	36	49	6	0
31	38	37	50	7	0
32	38	36	50	7	0
33	37	36	50	7	0
34	37	36	50	7	0
35	37	36	50	7	0
36	37	36	50	7	0
37	37	36	50	7	0
38	38	38	51	7	0
39	38	38	51	7	0
40	39	38	52	7	0
41	39	38	53	7	0
42	39	36	53	7	0
43	35	34	53	7	0
44	37	36	54	8	0
45	38	36	55	8	0
46	36	35	56	9	0
47	38	37	56	9	0
48	35	35	56	9	0
49	36	35	56	9	0
50	37	35	56	9	0
51	37	35	56	9	0
52	41	39	60	9	0
53	41	39	60	9	0
54	41	40	61	9	0
55	41	40	61	9	0
56	41	41	61	9	0
57	41	40	61	9	0
58	41	40	61	9	0
59	42	41	63	9	0
60	42	42	63	9	0
61	42	41	63	9	0
62	42	41	63	9	0
63	39	39	63	9	0
64	40	39	63	8	0
65	40	39	64	9	0
66	38	38	64	9	0
67	40	40	65	9	0
68	39	37	65	9	0
69	39	37	65	9	0
70	40	38	66	10	0
71	38	37	66	10	0
72	39	39	66	10	0
73	38	37	66	10	0
74	40	40	67	10	0
75	41	41	68	10	0
76	42	41	69	10	0
77	42	42	69	10	0
78	41	41	69	10	0
79	42	42	70	10	0
80	42	42	70	10	0
81	41	40	70	10	0
82	41	39	70	10	0
83	40	40	70	9	0
84	41	41	71	9	0
85	42	41	72	8	0
86	41	41	72	9	0
87	41	41	72	10	0
88	40	40	72	9	0
89	40	40	72	9	0
90	40	40	72	9	0
91	40	40	72	9	0
92	40	40	72	9	0
93	40	40	72	9	0
94	41	41	73	9	0
95	41	41	73	9	0
96	40	40	73	9	0
97	39	39	73	9	0
98	39	38	73	9	0
99	39	39	73	9	0
100	39	39	73	9	0
101	38	38	73	9	0
102	37	37	73	9	0
103	38	37	74	9	0
104	38	36	74	9	0
105	39	38	75	9	0
106	39	38	75	9	0
107	38	38	75	9	0
108	36	36	75	9	0
109	36	36	75	9	0
110	35	34	75	9	0
111	35	34	75	9	0
112	35	35	75	9	0
113	35	34	75	9	0
114	34	34	75	9	0
115	34	34	75	9	0
116	34	33	75	9	0
117	33	33	75	9	0
118	33	32	75	9	0
119	33	32	75	9	0
120	33	33	75	9	0
121	36	35	75	9	0
122	36	35	75	9	0
123	35	34	75	9	0
124	35	35	76	8	0
125	36	35	76	8	0
126	37	36	77	8	0
127	38	37	78	8	0
128	35	35	78	8	0
129	36	35	78	8	0
130	36	35	79	8	0
131	36	35	79	8	0
132	34	33	79	8	0
133	33	33	79	8	0
134	33	33	79	8	0
135	32	32	79	8	0
136	32	32	79	8	0
137	31	30	79	8	0
138	32	31	79	8	0
139	34	33	80	8	0
140	34	33	80	8	0
141	33	32	80	8	0
142	34	33	81	8	0
143	32	32	81	8	0
144	32	32	81	8	0
145	32	32	81	8	0
146	31	31	81	9	0
147	31	31	81	9	0
148	32	32	81	9	0
149	32	32	81	9	0
150	32	32	81	9	0
151	33	33	81	9	0
152	34	33	82	9	0
153	34	33	82	9	0
154	31	31	82	9	0
155	31	31	82	9	0
156	32	31	82	9	0
157	31	31	82	9	0
158	31	30	82	9	0
159	31	30	82	9	0
160	30	29	82	9	0
161	31	31	83	9	0
162	31	30	83	9	0
163	31	31	83	8	0
164	30	30	83	8	0
165	30	30	83	8	0
166	30	30	83	8	0
167	30	30	83	8	0
168	30	30	83	8	0
169	30	30	83	8	0
170	30	30	83	8	0
171	30	30	83	8	0
172	30	30	83	8	0
173	30	30	83	8	0
174	30	30	83	8	0
175	30	30	83	8	0
176	30	29	83	8	0
177	30	30	83	8	0
178	30	28	83	8	0
179	30	30	83	8	0
180	30	30	83	8	0
181	30	30	83	8	0
182	31	30	84	8	0
183	32	31	85	8	0
184	30	30	85	8	0
185	31	31	85	8	0
186	30	30	85	8	0
187	30	30	85	8	0
188	30	30	85	8	0
189	30	30	85	8	0
190	30	30	85	8	0
191	30	30	85	8	0
192	31	31	86	8	0
193	31	31	86	8	0
194	32	32	87	8	0
195	32	32	87	8	0
196	33	33	88	8	0
197	33	33	88	8	0
198	33	33	88	7	0
199	33	33	88	7	0
200	34	34	89	7	0
201	34	34	89	7	0
202	34	34	89	7	0
203	33	33	89	7	0
204	33	33	89	7	0
205	33	33	89	7	0
206	34	33	89	7	0
207	35	33	89	7	0
208	32	30	90	7	0
209	30	29	90	7	0
210	31	30	90	7	0
211	31	29	90	8	0
212	31	30	90	8	0
213	29	28	90	8	0
214	30	29	91	8	0
215	30	29	91	8	0
216	31	29	91	8	0
217	32	28	91	8	0
218	32	29	92	8	0
219	31	30	93	8	0
220	32	31	94	8	0
221	32	31	94	8	0
222	32	31	94	8	0
223	32	31	94	8	0
224	33	31	94	8	0
225	32	28	94	8	0
226	31	25	94	8	0
227	31	25	94	8	0
228	31	26	94	8	0
229	31	28	94	7	0
230	31	29	94	7	0
231	31	29	94	7	0
232	31	29	94	7	0
233	30	27	94	7	0
234	30	27	94	7	0
235	30	27	94	7	0
236	29	26	94	7	0
237	29	27	94	7	0
238	30	28	95	7	0
239	28	26	95	7	0
240	28	25	95	7	0
241	28	26	95	7	0
242	29	27	95	7	0
243	28	26	95	7	0
244	28	27	95	8	0
245	28	26	95	8	0
246	28	25	95	8	0
247	28	25	95	8	0
248	28	25	95	8	0
249	28	24	95	8	0
250	29	23	95	8	0
251	28	24	96	9	0
252	30	27	97	9	0
253	30	28	97	9	0
254	28	27	97	9	0
255	29	28	98	9	0
256	30	28	98	9	0
257	29	28	98	9	0
258	30	29	99	9	0
259	30	29	99	9	0
260	31	28	99	9	0
261	31	27	99	9	0
262	31	28	99	9	0
263	30	27	99	9	0
264	29	28	99	9	0
265	30	28	100	9	0
266	29	28	100	9	0
267	30	29	101	9	0
268	31	28	101	9	0
269	31	27	101	9	0
270	30	27	101	9	0
271	30	27	101	9	0
272	30	27	101	9	0
273	31	28	102	9	0
274	29	27	102	10	0
275	30	26	103	10	0
276	30	27	103	10	0
277	29	25	104	10	0
278	30	29	106	10	0
279	32	29	106	10	0
280	31	29	107	10	0
281	31	30	108	10	0
282	32	31	108	10	0
283	32	30	108	10	0
284	31	30	108	10	0
285	31	29	108	10	0
286	30	29	108	10	0
287	30	29	108	10	0
288	30	28	109	10	0
289	30	28	109	10	0
290	30	27	109	10	0
291	30	28	109	10	0
292	30	27	109	10	0
293	30	28	109	10	0
294	31	30	110	11	0
295	33	31	112	11	0
296	33	32	112	11	0
297	33	33	113	12	0
298	34	32	113	12	0
299	34	31	113	12	0
300	34	32	114	12	0
301	33	30	115	12	0
302	33	32	115	12	0
303	31	30	115	12	0
304	31	30	115	12	0
305	30	28	115	12	0
306	31	29	115	12	0
307	30	28	115	12	0
308	31	29	116	12	0
309	31	29	116	12	0
310	31	28	116	12	0
311	30	29	116	12	0
312	30	27	116	12	0
313	31	28	116	12	0
314	29	26	116	12	0
315	32	30	117	12	0
316	31	30	117	12	0
317	32	31	118	12	0
318	32	31	118	12	0
319	32	30	118	12	0
320	32	31	118	12	0
321	34	34	121	14	0
322	34	34	121	14	0
323	34	33	121	14	0
324	30	29	121	14	0
325	31	30	123	15	0
326	32	31	124	16	0
327	33	33	125	16	0
328	31	31	125	16	0
329	32	31	125	16	0
330	34	33	125	16	0
331	31	30	125	16	0
332	30	29	125	16	0
333	32	32	126	16	0
334	34	34	126	16	0
335	34	34	126	16	0
336	34	34	126	16	0
337	32	31	126	16	0
338	31	30	126	16	0
339	32	32	126	16	0
340	32	32	127	16	0
341	33	33	128	17	0
