Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	39	0	0	0	0
2	38	0	0	0	0
3	36	0	0	0	0
4	36	0	0	0	0
5	35	35	35	0	0
6	35	34	35	0	0
7	36	34	35	0	0
8	38	35	36	0	0
9	38	35	36	0	0
10	38	37	38	0	0
11	38	37	39	0	0
12	38	37	39	0	0
13	36	36	39	0	0
14	37	36	39	0	0
15	37	36	39	0	0
16	36	36	39	0	0
17	35	35	39	0	0
18	37	35	39	0	0
19	36	34	39	0	0
20	36	34	39	0	0
21	35	34	40	0	0
22	35	35	41	0	0
23	35	35	41	0	0
24	36	35	41	0	0
25	37	35	41	0	0
26	37	36	41	0	0
27	39	37	41	0	0
28	36	35	41	0	0
29	36	35	41	0	0
30	36	35	41	0	0
31	37	37	42	0	0
32	36	36	42	0	0
33	36	36	42	0	0
34	36	36	42	0	0
35	36	36	42	0	0
36	36	36	42	0	0
37	36	36	42	0	0
38	38	37	42	0	0
39	38	37	42	0	0
40	38	37	42	0	0
41	38	36	42	0	0
42	36	36	43	0	0
43	34	34	43	0	0
44	36	35	43	0	0
45	36	35	43	0	0
46	36	35	43	0	0
47	37	36	43	0	0
48	35	35	44	0	0
49	35	35	44	0	0
50	35	35	44	0	0
51	35	35	44	0	0
52	40	36	44	0	0
53	40	36	44	0	0
54	40	36	44	0	0
55	41	37	44	0	0
56	41	40	47	0	0
57	41	40	47	0	0
58	41	41	48	0	0
59	42	40	48	0	0
60	42	40	48	0	0
61	42	40	48	0	0
62	41	39	48	0	0
63	39	39	48	0	0
64	39	39	49	0	0
65	39	39	49	0	0
66	39	39	49	0	0
67	40	39	49	0	0
68	38	37	49	0	0
69	38	37	49	0	0
70	39	37	49	0	0
71	38	37	50	0	0
72	39	38	50	0	0
73	38	37	50	0	0
74	40	39	51	0	0
75	41	39	51	0	0
76	41	38	51	0	0
77	42	39	51	0	0
78	41	39	52	0	0
79	42	40	53	0	0
80	42	41	54	0	0
81	41	40	54	0	0
82	39	38	54	0	0
